"GeoFips","GeoName","LineCode","Description","2016"
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","1","RPPs: All items",103.8
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","2","  RPPs: Goods",100.1
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",114.8
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","4","  RPPs: Services: Other",102.2
"17020","Chico, CA (Metropolitan Statistical Area)","1","RPPs: All items",99.0
"17020","Chico, CA (Metropolitan Statistical Area)","2","  RPPs: Goods",95.4
"17020","Chico, CA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",101.6
"17020","Chico, CA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",102.0
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)","1","RPPs: All items",89.6
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)","2","  RPPs: Goods",94.6
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",78.7
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)","4","  RPPs: Services: Other",90.9
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","1","RPPs: All items",90.4
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","2","  RPPs: Goods",97.6
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",76.9
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
